N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,ਚੌਲ
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,ਚੌਲ
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,ਚੌਲ
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,ਚੌਲ
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,ਚੌਲ
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,ਚੌਲ
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,ਚੌਲ
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,ਚੌਲ
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,ਚੌਲ
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,ਚੌਲ
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,ਚੌਲ
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,ਚੌਲ
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,ਚੌਲ
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,ਚੌਲ
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,ਚੌਲ
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,ਚੌਲ
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,ਚੌਲ
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,ਚੌਲ
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,ਚੌਲ
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,ਚੌਲ
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,ਚੌਲ
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,ਚੌਲ
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,ਚੌਲ
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,ਚੌਲ
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,ਚੌਲ
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,ਚੌਲ
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,ਚੌਲ
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,ਚੌਲ
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,ਚੌਲ
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,ਚੌਲ
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,ਚੌਲ
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,ਚੌਲ
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,ਚੌਲ
