Disease Name,Reason for Being Affected,Symptoms,Recommended Solution,Recommended Fertilizer,
Apple Scab,"Fungal disease caused by Venturia inaequalis, which overwinters in fallen leaves; cool, wet spring weather triggers spore release:contentReference[oaicite:0]{index=0}.","Dark olive-green to brown circular spots appear on leaves (often coalescing into larger areas and causing leaf distortion) and on fruit (rough, circular lesions), leading to misshapen fruit or premature fruit drop:contentReference[oaicite:1]{index=1}:contentReference[oaicite:2]{index=2}.","Sanitation: remove or shred fallen leaves (can spray 5% urea on leaf litter in autumn) to destroy overwintering fungus:contentReference[oaicite:3]{index=3}; plant resistant varieties:contentReference[oaicite:4]{index=4}. Chemical: protect new growth with timely fungicide sprays (e.g., mancozeb or other FRAC-rotated fungicides) from bud break through petal fall:contentReference[oaicite:5]{index=5}.",Spray 5% urea (46-0-0) on fallen leaves in autumn to hasten leaf decomposition and reduce inoculum:contentReference[oaicite:6]{index=6}. Also maintain balanced N-P-K fertilization (per soil test) to keep trees vigorous.,
Apple Black Rot,"Fungal disease caused by Botryosphaeria obtusa (Diplodia) that infects living or dead wood and fruit; trees stressed by drought, poor drainage, or fire blight are especially susceptible:contentReference[oaicite:7]{index=7}:contentReference[oaicite:8]{index=8}.","Fruit develop brown to black rot (often on blossom end) with concentric ring spots and firm, brown interior; infected apples may shrivel into mummies with black pycnidia:contentReference[oaicite:9]{index=9}. Leaves show distinctive 'frog-eye' spots (tan centers with reddish margins):contentReference[oaicite:10]{index=10}. Branches exhibit sunken, reddish-brown cankers.","Sanitation: prune out and destroy (burn or remove) all mummified fruit, cankered branches, and dead wood:contentReference[oaicite:11]{index=11}. Maintain tree vigor with proper pruning, watering, and site selection to reduce stress:contentReference[oaicite:12]{index=12}. Chemical: fungicides rarely needed; if used, broad-spectrum captan/sulfur sprays (as part of a scab spray program) can help control leaf spots:contentReference[oaicite:13]{index=13}.","Apply balanced fertilizer (e.g., 10-10-10 N-P-K) each spring according to tree age/size to maintain vigor:contentReference[oaicite:14]{index=14}.",
Apple Cedar Apple Rust,"Rust fungus (Gymnosporangium spp.) requiring two hosts (apple/crabapple and juniper); overwinters in cedar galls. Wet spring weather produces orange jelly horns on cedar, releasing spores that infect apple leaves and fruit:contentReference[oaicite:15]{index=15}.","Bright yellow-orange spots on apple leaves in spring, often developing orange gelatinous spore horns on the underside:contentReference[oaicite:16]{index=16}; spots on fruit are larger and yellow-orange:contentReference[oaicite:17]{index=17}. Infected leaves may drop in dry conditions:contentReference[oaicite:18]{index=18}.","Cultural: remove nearby eastern red cedars or galls; plant rust-resistant apple/crabapple varieties:contentReference[oaicite:19]{index=19}. Chemical: apply protective fungicide sprays (e.g. myclobutanil, copper, sulfur) starting at bud break and repeat through bloom to protect new leaves:contentReference[oaicite:20]{index=20}.",Maintain balanced nutrition (e.g. N-P-K fertilizer or compost) to support tree health; apply in early spring per guidelines:contentReference[oaicite:21]{index=21}.,
Apple (Healthy),No disease present; plant has ideal conditions and care.,Leaves and fruits are normal and free of spots or blemishes.,"Maintain good orchard practices (proper pruning, irrigation, weed control, monitoring for pests).","Apply balanced orchard fertilizer (e.g., 10-10-10 N-P-K) in spring for healthy growth.",
Blueberry (Healthy),"No disease; soil and environment are favorable (acidic pH, proper moisture).","Leaf color is deep green, branches are vigorous, normal flowering and fruiting.","Maintain soil acidity (pH 4.5–5.5), mulch to conserve moisture, and remove weeds; monitor for pests.","Apply acidic fertilizer (e.g., ammonium sulfate or specialized blueberry fertilizer) as per soil test.",
Cherry (Healthy),No disease; good cultural conditions.,Green healthy leaves and unblemished fruit.,"Provide adequate water, proper pruning, and pest monitoring; maintain plant hygiene.","Apply balanced fertilizer (e.g., 10-10-10) in early spring for stone fruits.",
Cherry Powdery Mildew,"Fungal pathogen Podosphaera clandestina that overwinters in buds and thrives in warm (70–80°F), humid conditions:contentReference[oaicite:22]{index=22}.","White, powdery fungal growth on the surface of young leaves, shoots or fruit; leaves may become distorted or drop if infected:contentReference[oaicite:23]{index=23}.",Protect new growth with fungicide sprays (apply soon after petal fall and repeat 2–3 weeks later):contentReference[oaicite:24]{index=24}; prune and thin canopy for air flow and remove infected shoots to reduce inoculum.,"Apply balanced fertilizer (e.g., 10-10-10) in spring to maintain vigorous growth.",
Corn Gray Leaf Spot,"Fungal disease caused by Cercospora zeae-maydis, which overwinters in crop residue; thrives in warm, humid conditions:contentReference[oaicite:25]{index=25}:contentReference[oaicite:26]{index=26}.","Elliptical to rectangular gray-brown lesions on corn leaves, 1/8\ wide by 2–3\"" long"," often bounded by leaf veins:contentReference[oaicite:27]{index=27}.""",Use resistant hybrids and crop rotation to non-hosts; tillage to bury residue; apply foliar fungicides under high disease risk:contentReference[oaicite:28]{index=28}.,Ensure adequate fertility: side-dress nitrogen if needed during growing season.
Corn Common Rust,"Rust fungus Puccinia sorghi that overwinters in the south; spores blow north during summer. Favors cool (60–76°F), humid conditions with dew:contentReference[oaicite:29]{index=29}.","Numerous elongated reddish-brown pustules on both upper and lower leaf surfaces (and sheaths), turning dark brown as they age:contentReference[oaicite:30]{index=30}; heavy infections cause leaf yellowing or death.",Plant rust-resistant corn hybrids and maintain plant health. Apply fungicide early if rust pustules appear (best when applied before severe infection):contentReference[oaicite:31]{index=31}.,Maintain adequate fertility; side-dress nitrogen as needed for corn growth.,
Corn (Healthy),No disease; seedbed and crop management are optimal.,"Tall green stalks, full tassels and ears without leaf spots or deformation.",Maintain field hygiene and use crop rotation; monitor pests. Ensure proper irrigation.,"Side-dress with nitrogen fertilizer (e.g., urea or ammonium nitrate) during growing season.",
